Gene on Watson Strand,Gene on Crick Strand,Base Pairs Apart,Coordinates of Gene on Watson Strand,Coordinates of Gene on Crick Strand,Chromosome
CNE1,YAL056C-A,-277,37464-38972,38696-39046,chrI
CDC19,YAL037C-B,-963,71786-73288,72326-73300,chrI
YAL031W-A,GIP4,-229,84669-84977,84749-87031,chrI
SAW1,YAL026C-A,-87,94687-95472,95386-95823,chrI
YAR029W,YAR030C,-34,186321-186545,186512-186853,chrI
YAR075W,YBL113C,-229038,228844-229317,280-2658,chrII
MRX3,YBL094C,-325,43277-44089,43765-44097,chrII
YBL077W,ILS1,-286,80897-81328,81043-84261,chrII
KTI11,YBL071C,-4,89978-90226,90223-90531,chrII
YBL062W,SKT5,-373,105308-105688,105316-107406,chrII
YBL053W,SAS3,-331,119335-119709,119379-121874,chrII
MNC1,YBR056C-B,-163,351255-351455,351293-351451,chrII
MMS4,YBR099C,-667,441515-443590,442924-443307,chrII
CCZ1,YBR131C-A,-1628,497163-499277,497650-497739,chrII
YBR225W,YBR226C,-175,670627-673329,673155-673565,chrII
REI1,SLM6,-1087,739841-741022,739936-740388,chrII
KCC4,YCL022C,-706,79162-82275,81570-82085,chrIII
PGK1,YCR013C,-595,137746-138996,138402-139049,chrIII
YCR041W,TAF2,-70,200911-201243,201174-205397,chrIII
ARE1,YCR050C,-298,211929-213761,213464-213772,chrIII
SRB8,YCR081C-A,-240,254371-258654,258415-258651,chrIII
YCR087W,YCR087C-A,-486,263976-264491,264006-264467,chrIII
SSB1,YDL228C,-630,44065-45906,45277-45918,chrIV
YDL221W,CDC13,-319,62011-62562,62244-65018,chrIV
PAR32,YDL172C,-472,148191-149078,148607-149086,chrIV
STE7,YDL159C-B,-973,172481-174028,173056-173232,chrIV
YDL086W,YDL086C-A,-580,301413-302234,301655-302089,chrIV
LHP1,YDL050C,-334,363952-364779,364446-364817,chrIV
CDC7,YDL016C,-163,424209-425732,425570-425872,chrIV
GRX6,YDL009C,-101,432330-433025,432925-433248,chrIV
